,Datetime,Tweet Id,Text,Username
67,2021-04-03 07:35:38+00:00,1378249822298275846,"@ETNOWlive @nitin_gadkari @MORTHIndia @OfficeOfNG Ring  road work in Solapur since last 6 years remains non-progressive, unmoved and incomplete. That is very important especially when u want to give connectivity to upcoming Surat-Chennai expressway to bangalore &amp; Hyderabad from Solapur also to avoid accidents in city. @PMOIndia",GP4IND
68,2021-04-03 04:18:55+00:00,1378200313157484546,"A Hyderabad-based NGO has created fluorescent collars for stray dogs to save them from road accidents

#NGO #BREAKING #StaryDog https://t.co/CfOEd4WZju",IndiaObservers
69,2021-04-03 04:14:13+00:00,1378199133006143492,"Telangana: A Hyderabad-based NGO has created fluorescent collars for stray dogs to save them from road accidents

  https://t.co/9zw8WnscRq",WeForNews
70,2021-04-03 03:38:36+00:00,1378190167018663939,"This Hyderabad NGO tags stray dogs with fluorescent collars to avoid road accidents
https://t.co/tuT9AJTlao
#India #Hyderabad #StrayDogs #NGO #DogsAccident",ANI_multimedia
71,2021-04-03 01:20:44+00:00,1378155473040384003,"Telangana: A Hyderabad-based NGO has created fluorescent collars for stray dogs to save them from road accidents

""Collars are made of lightweight material &amp; are safe for animals. They'd help people driving at night to identify animals from distance,"" said NGO official (02.04) https://t.co/JR5ERSBHRk",Indsamachar
72,2021-04-03 01:14:41+00:00,1378153951606960128,"Telangana: A Hyderabad-based NGO has created fluorescent collars for stray dogs to save them from road accidents

""Collars are made of lightweight material &amp; are safe for animals. They'd help people driving at night to identify animals from distance,"" said NGO official (02.04) https://t.co/EMCpJYNFhe",ANI
73,2021-04-01 01:52:24+00:00,1377438666637762562,@arghyac555 @CYBTRAFFIC Every day accident is happening due to road crossing. Need to be stable road over foot bridge.  Hers in Hyderabad most of busy places no over bridge so peoples r crossing and there is jo any options also. So make some places bridge.,ManojPa93853889
74,2021-04-01 00:08:41+00:00,1377412568109572097,"Road Accidents news, T. S. 01st April @HiHyderabad @HiCyberabad @HydWatch @hyderabad_zone @WithCitizen @HiTechCity @royal_sukanya @sai_koushika @saivamshirv @amksocialwork 
@PANDARAJATH @aveervani
@swachhhyd @janamantemanam
@Spandana_Adv @Strictroadrules @SatyaHari7 @Citizen_TS https://t.co/l37hK9VkpR",rajakesari99
75,2021-03-31 16:20:00+00:00,1377294617222127616,"Man killed in road accident in Hyderabad ORR
https://t.co/PMUnFhF46l",TelanganaToday
76,2021-03-31 03:45:52+00:00,1377104834222977025,"Hyd Road Accidents news, 31st Mar 21 @HiHyderabad @HiCyberabad @HydWatch @hyderabad_zone @WithCitizen @HiTechCity @royal_sukanya @sai_koushika @saivamshirv @amksocialwork 
@PANDARAJATH @aveervani
@swachhhyd @janamantemanam
@AirHyderabad @Spandana_Adv @Strictroadrules @SatyaHari7 https://t.co/WY814ePlfP",rajakesari99
77,2021-03-30 04:50:24+00:00,1376758685104365568,@cpwrlc True sir..Traffic fines will definitely reduce the accidents on road..Even helmets usage gurinchi kuda please try to take strict action sir Hyderabad laga..@cpwrlc,TarunNellutla96
78,2021-03-29 00:02:58+00:00,1376323964352425984,"Hyd Road Accidents news, 29th Mar
@HiHyderabad @HiCyberabad @HydWatch @hyderabad_zone @WithCitizen @HiTechCity 
@royal_sukanya @sai_koushika @saivamshirv 
@amksocialwork @PANDARAJATH @aveervani
@swachhhyd @janamantemanam @Strictroadrules
@Just_im_Ajay @SatyaHari7 https://t.co/IC3k4KTaJT",rajakesari99
79,2021-03-27 09:09:09+00:00,1375736638182060039,"@KTRTRS sir, I wanted to share a problem with u. Hyderabad-Manchriyal Highway Road,while going to Ramagundam The bridge is incomplete &amp; it is only one-way Road from many years and most of the accidents have being happening there .My humble request with u to solve the problem. https://t.co/DquoYRCwc4",MohammedAdnanu8
80,2021-03-26 10:27:23+00:00,1375393941596430337,"yesterday while coming from mahbubnagar district to hyderabad met with an accident on the road SH20 which connects NH167 and NH44 near Toyota showroom 
@MBNRpolice @Collector_MBNR @DPOMBNR @drdombnr @DysoMbnr @mbnr @TelanganaToday @KTRoffice @tstourism @TSRTCHQ @KTRoffice https://t.co/h6uAgivkVB",MujeebZulfath
81,2021-03-24 06:16:40+00:00,1374606068471406592,"Hyd Road Accidents news. 24th Mar 21. @HiHyderabad @HiCyberabad @HydWatch @hyderabad_zone @WithCitizen @HiTechCity @royal_sukanya @sai_koushika @saivamshirv @amksocialwork 
@PANDARAJATH @aveervani
@swachhhyd @janamantemanam
@AirHyderabad @Strictroadrules @SatyaHari7 https://t.co/nG8UADqUXN",rajakesari99
82,2021-03-23 11:19:03+00:00,1374319780371558401,"When I was little like 5 my entire family including me had a road accident in hyderabad. I lost my new grown teeth and had wounds on my hands and head.
My dad had his specs broken and glass pieces stuck to his face +++ https://t.co/OTKcKA8Cwu",FeastBit
83,2021-03-23 09:24:06+00:00,1374290852399345667,Woman and infant die in car accident at Hyderabad's Outer Ring Road https://t.co/Tm0fumrxvm,FrequencyPvt
