img,url,title,desc,date
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/odisha/2021/jul/30/dont-skip-joint-inspection-of-road-accident-spots-odisha-govt-warns-district-collectors-2337692.html,"Don't skip joint inspection of road accident spots, Odisha govt warns District Collectors",The direction came after most of the districts were found skipping joint inspections of accident spots in defiance of the Supreme Court Committee on Road Safety,published on : 30th July 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2021/jul/26/india-witnessed-449-lakh-road-accidents151-lakh-deaths-in-2019-2335648.html,"India witnessed 4.49 lakh road accidents, 1.51 lakh deaths in 2019","The number of road accidents in 2018 was 4,67,044 and deaths were recorded at 1,51,417.",published on : 26th July 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/kerala/2021/jul/23/karipur-gold-smuggling-case-suspect-and-friend-of-prime-accused-killed-in-road-accident-2334329.html,Karipur gold smuggling case: Suspect and friend of prime accused killed in road accident,"Though the Customs department had asked Rameez to appear before them in connection with the investigation on Thursday, he had not appeared before the agency",published on : 23rd July 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/andhra-pradesh/2021/jul/20/wear-bis-standard-helmets-to-avoid-road-accidents-andhra-dgp-2332609.html,Wear BIS standard helmets to avoid road accidents: Andhra DGP,"According to a report by the Union Ministry of Road Transport and Highways, Andhra Pradesh stands on the eighth spot in the number of road mishaps recorded in a year.",published on : 20th July 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/karnataka/2021/jul/20/four-killed-in-road-accident-near-kalaburagi-city-in-karnataka-2332746.html,Four killed in road accident near Kalaburagi city in Karnataka,The injured has been admitted in a private hospital at Kalaburagi and the bodies of the deceased persons have been sent for postmortem.,published on : 20th July 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/cities/kochi/2021/jul/15/fast-and-furious-driving-by-food-delivery-boys-results-in-road-accidents-2330290.html,Fast and furious driving by food delivery boys results in road accidents,"Competition with rival companies and deadline forcing them to take such risks, they say",published on : 15th July 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/andhra-pradesh/2021/jul/07/andhras-antarvedi-temple-chariot-fire-suspect-dies-in-road-accident-2326679.html,Andhra's Antarvedi temple chariot fire ‘suspect’ dies in road accident,"According to police, Yakub Ali covered himself with a polyethylene sheet and slept on the road at Sakhinetipalli.",published on : 7th July 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2021/jun/29/six-die-in-road-accident-in-raigarh-district-of-chhattisgarh-2322989.html,Six die in road accident in Raigarh district of Chhattisgarh,"The victims were returning to their village Chaal after attending a wedding ceremony,"" Raigarh superintendent of polcie Santosh Singh said. ",published on : 29th June 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/tamil-nadu/2021/jun/24/tamil-nadu-cag-report-flags-poordriving-licence-tests-indictstransport-dept-for-road-accident-de-2320979.html,"CAG report flags poor driving licence tests in TN, indicts transport, highways dept for road accident deaths","The report said Chennai police in 2018 recommended 2,986 accident cases to RTOs for suspension of Driving licences but only 1,628 were suspended.",published on : 24th June 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/tamil-nadu/2021/jun/23/district-level-officers-to-checkroad-accident-claims-disbursal-2320153.html,District level officers to check road accident claims disbursal,A special bench of Justices P N Prakash and Abdul Quddhose passed the interim orders on the plea after it was brought to its notice.,published on : 23rd June 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/cities/hyderabad/2021/jun/18/mahabubnagar-four-dead-in-major-road-accident-2318253.html,Mahabubnagar: Four dead in major road accident,"According to Jadhcerla SI Shamshuddin, a tractor carrying paddy load was going towards Kalwakurthy, when two bikes were coming in the opposite direction. ",published on : 18th June 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/kerala/2021/jun/06/two-keralite-nurses-die-in-saudi-road-accident-2312350.html,Two Keralite nurses die in Saudi road accident,The Kerala Muslim Cultural Centre unit in Najran said there were five people in the taxi and all of them were Keralites.,published on : 6th June 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/karnataka/2021/may/15/three-killed-four-injured-in-road-accident-in-karnatakas-chitradurga-2302852.html,"Three killed, four injured in road accident in Karnataka's Chitradurga","Two daily wage labourers died on the spot, whereas the third person succumbed at Chitradurga district hospital.",published on : 15th May 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/andhra-pradesh/2021/may/11/three-killed-in-road-accident-2301001.html,Three killed in road accident,Three members of a family were killed in a road accident when their two-wheeler was hit by a speeding car in at Thyalluru village on late Sunday night.,published on : 11th May 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/cities/hyderabad/2021/may/08/hyderabad-police-inspector-wife-killed-in-road-accident-near-city-2299991.html,"Hyderabad police inspector, wife killed in road accident near city","While their son Kushalav escaped unhurt in the accident, the car they were travelling in crashed into a parked lorry.",published on : 8th May 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2018/may/13/three-rjd-leaders-driver-killed-in-road-accident-while-returning-from-lalu-prasad-yadavs-son​s-we-1814217.html,"Three RJD leaders, driver killed in road accident while returning from Lalu Prasad Yadav’s son​'s wedding","Police said the deceased were RJD’s Kishanganj district president Intekhab Alam, the party’s Dighalganj block president Pappu, party activist Ikramul Haq Baghi and the driver of the car.",published on : 13th May 2018
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2018/feb/08/146-lakh-people-killed-in-road-accidents-in-2017-union-minister-gadkari-1770290.html,1.46 lakh people killed in road accidents in 2017: Union Minister Gadkari,Gadkari said in the Lok Sabha that a majority of the road accidents involved two-wheelers where the victims were not wearing helmets.,published on : 8th February 2018
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/cities/hyderabad/2017/oct/24/sana-iqbal-woman-biker-from-hyderabad-who-campaigned-against-suicide-dies-in-road-accident-1681518.html,"Sana Iqbal, woman biker from Hyderabad who campaigned against suicide dies in road accident",Twenty-nine-year-old Sana and her husband Abdul Nadeem were travelling to Tolichowki on the Outer Ring Road (ORR) near Hyderabad's Narsingi when their car rammed the median. ,published on : 24th October 2017
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2017/may/07/rajasthan-six-kids-die-in-road-accident-1602138.html,Rajasthan: Six kids die in road accident,The passengers were on their way to Khanpur from Daulatpura village to attend a mass marriage ceremony. ,published on : 7th May 2017
