,Image Name,Image Source
44,Speed kills 3 in a bizarre Seltos split - Auto News,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaL6vEAIcho4g2a6iTdEqtGWsMOgB0r5xWOw&usqp=CAU
45,Road accident deaths decline due to lockdown in India - Report,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwyBEFORYs9KHIxFGG6K-QaMhsakS2CMi8qA&usqp=CAU
46,"Road accidents killed 17 people every hour in India in 2016, Delhi most  unsafe | Latest News India - Hindustan Times",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUoNGvz-6KzXfdghBMvVRinObED3XHOEUkBw&usqp=CAU
47,Over 1.51 lakh died in road accidents last year; UP tops among states |  India News - Times of India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRj4WzbgWya7Vn3S3KmuVQD1tGgEltrVz83Nw&usqp=CAU
48,"Infographic: Deaths by road accidents, India fares badly | India News -  Times of India",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6uf44wrWy3Gt4a4uI5nyCpIgNFi6HGcszZA&usqp=CAU
49,"With 53 road crashes per hour, road accidents in India continue to be  highest in world",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7zjXlLue4_DC-TnxJ7jKzNMFnHZGyTIj36Q&usqp=CAU
50,India: number of fatalities in road accidents | Statista,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAAY4n8RNsdewXJWxK7oUteMZIZEmRI5rGSA&usqp=CAU
51,India has the highest number of road accidents in the world | Asia | An  in-depth look at news from across the continent | DW | 29.04.2010,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlEdRsyTWOV6S-wuol-9TEeGYXXF1lfiqUMw&usqp=CAU
52,"Lockdowns, travel bans bring down road accidents in India by 35% this year",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3O3-ntTXdsTCGEj7R9eK53OZMdtx-nx5XbA&usqp=CAU
53,SPIKE IN INDIAN ROAD ACCIDENTS - IAS gatewayy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSX9E9SIDVBVWmQ-f_ckSyDhpYwnIRN-O8PjQ&usqp=CAU
54,Maharashtra among 3 states with the highest deaths in road accidents: Govt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmw6Ddhp9nQH_Su0e2-NliqrMCDFQYo0KizQ&usqp=CAU
55,India has the highest number of road accidents in the world | Asia | An  in-depth look at news from across the continent | DW | 29.04.2010,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3fW1NYAICSAMlJ_N5gqprwvccTNWEVmH-yg&usqp=CAU
56,India tops the world with 11% of global death in road accidents: World Bank  report - The Economic Times,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfkC2xNIilBOGEwv5WUC-FGX1lzHuw3YpfXw&usqp=CAU
57,India's Horrific Road Accident Statistics Just Got Worse - YouTube,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSblJaqwVEIz3wEljTpoe0YrDuluwu7Htz-1A&usqp=CAU
58,Deadly afternoons: 35% of road accidents in India reported between 3pm and  9pm | Latest News India - Hindustan Times,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYPKdCpbj_Qj6KEs4Bl7KBW2tLB2Y6CzAUkg&usqp=CAU
59,17 died in every hour on Indian roads last year: govt data | Development  Channel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCR5Q1rvh6D9cz8E8n3qB0zTUa5QdnmKYkYg&usqp=CAU
60,"India Records 1.51 Lakh Deaths Due to Road Accidents in 2019, YoY Decline  of 3.9%",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfty0voj0Qrq0OuGMgGKh_F1NPPOqnjMcmRQ&usqp=CAU
61,The reasons why there are so many road accidents in India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1TJIsXf2Cm5diE7Vk63rXhdFRFUCOGRY8rg&usqp=CAU
62,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuWu29fatvNOxzGzHxsTfVsBppWiXk_CzBOgLCY9t0TmTbfpjN&usqp=CAU
63,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQadrzPuPO8UHhcgEbRI3rMvtwVlKGz9u7H0dFujw0pEQmtFxuC&usqp=CAU
64,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxuwbCmxH7AwIvHc1RxQsqhPzdJD776ckyFlHwph6hdzuLKjSr&usqp=CAU
65,"India way behind 2020 target, road accidents still kill over a lakh a year  | India News - Times of India",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtZcV9_ueWDhu3I93RibvTOTxiS365etI2rw&usqp=CAU
66,"1.20 lakh deaths due to negligence in road accidents in 2020, average 328  daily: Data",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSew1m2huOKHxSDynQlADI7DPwv9FzGvlRM9g&usqp=CAU
67,All about road accidents in India - YouTube,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrSA68V5ss03j-3WCEGZ-3Kyd9hl_rwbYNGQ&usqp=CAU
68,"Road accidents in India claimed 405 lives, injured 1,290 each day in 2017",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhXXLgxUd78xBo-n8SH2VPbpP29cLZa-uAog&usqp=CAU
69,Why India's new traffic law failed to curb road accidents,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ35ZNYRxE0u4Ru-qWU4B_99qkhpbD3gBQ1oA&usqp=CAU
70,How many people in India die in road accidents? - Quora,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxz9qjZOzdZZVs92Qd4g7nrxJhrtJi0RaPZw&usqp=CAU
71,Road safety| Lockdown 4.0 recorded more road accidents than pre-lockdown  scenario,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTosN4k1yZ65StUgI3UkCW2bQ6nyv4nGf86ig&usqp=CAU
