,Image Name,Image Source
51,Driver Using Gps Navigation In Mobile Phone While Driving Car Stock Photo -  Download Image Now - iStock,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQB1Wql9qOYVKRosgL6TR8-GRGIQ0ACAGTD3Q&usqp=CAU
52,Almost half of Delhi's drivers illegally use mobile phones while driving:  Survey | Latest News Delhi - Hindustan Times,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKLu1XfMicSY8_LDSyhew3_rREC0GxrNLJmQ&usqp=CAU
53,The only two instances when you can use a mobile phone at the wheel of a  car - Bristol Live,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRos4evA7YgFfqxJ69BswumL7Is-IRbuW5itA&usqp=CAU
54,Listen Up: New Law Requires Massachusetts Drivers to Use Phones Hands-Free  | BU Today | Boston University,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBmhN7FaKxXFNyC5zQThF9DouE7xvF8eXcpw&usqp=CAU
55,Truck driver holding mobile phone to show photo image_picture free download  501544476_lovepik.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl--hHzVWlum9LDDLBpilne1bG2R-W4jNfuw&usqp=CAU
56,Why you really shouldn't use your mobile phone while driving - Car Advice |  CarsGuide,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmexpSpdtI-J-TRuz0JLMQ4R1giFI1W_SyjA&usqp=CAU
57,Cameras and A.I. to identify drivers using phones while driving,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6f_myyjUVBIV15ORdKn10RTlJlYm_zT0F4w&usqp=CAU
58,"Are you a CDL driver who has been charged with using a mobile phone while  driving? Are you charged with a texting violation? | Law Offices of Michael  Steven Sherman, P.C. |",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScVtzFv9cYjTYTNJojsdyG2-sVXt91rwrpYg&usqp=CAU
59,Over 85% of drivers regularly see people using phones behind the wheel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSP7egJtpSG2QOFo8U0z82_av8HnWWad2zDLQ&usqp=CAU
60,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdXeNA2RWpVZbb9ALffkvOhn2noAk8f-liusC7jsjcIHeQU15p&usqp=CAU
61,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZ8CHVj92NVLh6MoXmV8M0lO7xAv3R8KM_tXeiQMI&usqp=CAU
62,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUb1DV0EofLxxcE9qpqDqLJM102pj_3vJNJFYkXElIkRW6yhyo&usqp=CAU
63,"Using phone while driving is not an offence - Punishable only if you cause  accident, says High Court",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWxYH5zNPm3McgjrgDud-Rno4ZVp5b4IUnIQ&usqp=CAU
64,Victoria uses AI to detect drivers using phones - Cities Today,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnGy3m8IEG-2pWf71AHoq6H6kvawMCybLYNw&usqp=CAU
65,GAT Blog: Mobile Phone Usage Rules For Truck Drivers,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSL6VpqkhUAXJH6buu1jS-WlZO9HVzcoCXrA&usqp=CAU
66,Mobile phones and driving safety - Wikipedia,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMlurP_EcDI4Ft27KfoiX5zjSA31EmvvfGRQ&usqp=CAU
67,Tips on Avoiding Cell Phones While Driving – Our Driving Concern,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNFcdK8Hu33_ab9syKtmE0hWUm3Rhdi2oxKw&usqp=CAU
68,"Woman Using Phone while Driving Her Car Stock Photo - Image of drive,  distracted: 85455594",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJwMnCgtLupjUcGpJQBDEiveV-2wLTDuOckA&usqp=CAU
69,New Texting Laws Protect Florida Drivers - Florida Farm Bureau Insurance,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbKbOjB8itvRQQ8MKS9OB7VS2-ArZaJSFHHw&usqp=CAU
70,Is it time to ban hands-free mobile phones while driving?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_Weu-PjUkF0Y3TDiHJ2LwD_OawrbseCMD-Q&usqp=CAU
71,Best driving apps for iPhone and Android mobiles | Auto Express,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbz8EBHAuWPZceqIpAX0unUbdG8vTKCXPbpg&usqp=CAU
72,Cell phone use while driving | Visual.ly,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxxpNAk5AFHpb1yqRHYJ5iyDHs8tSIRdjC4w&usqp=CAU
73,Training Needed to Stop LGV Drivers Using Phones Whilst Driving,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUBARQGHMtRv-u67Ou0QYKyp9VS1_lni0akA&usqp=CAU
74,Number of people caught using phones while driving in Ireland increases 24%  | Three60 by eDriving,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqKJwqpA5xK58bSH9clZv_cRlOWeycou40NQ&usqp=CAU
75,"Nearly 500,000 drivers risk their lives by using mobile phones on the road  | The Independent | The Independent",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmptKscy38XwgRhqbd8wW7LmbEp7L0ZT1BZA&usqp=CAU
76,Hands-Free Cellphone Laws And Fewer Driver Deaths Linked In New Study,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQIpVEgEXyai-N9a9N_btdJ6Bs0qepNPy_5A&usqp=CAU
77,Mobile phones and driving safety - Wikipedia,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQs5sJUkP9blagRfapccr-xzhjYwMib7lxFpA&usqp=CAU
78,Dangerous Driver Using Mobile Phone While Driving In Car Stock Photo -  Download Image Now - iStock,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQu39ijK6_hEOhqwzGnikFyk4lmuwc2cOwcA&usqp=CAU
79,"distracted driving: Yes, using mobile phones while driving is dangerous but  half of us use it anyway, finds study - Times of India",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfOjNZ1sSDfoCHCvNzP7XVl5-xKBrO-SOU_w&usqp=CAU
80,Use of mobile phones while driving to be included in list of serious  offences - Pakistan - DAWN.COM,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRF6pbg4taDGz_xIq-S_HPl-7tiWNIUY3ZEYQ&usqp=CAU
81,Mobile phone loophole for filming drivers 'to be closed' - BBC News,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTd1TOyAdN9nvWQVsWmgVtGk9pe5Ki4vYMRUw&usqp=CAU
82,Audio: New California law: Keep your hands off your smartphone while driving  | 89.3 KPCC,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpvSFrw56bDVOjn9FdQ66kNLG99agjCJhvNA&usqp=CAU
